Finding ID,Rule ID,Category,Severity,Source,Engine,Language,File,Line,Function,Snippet,Reason,Recommendation,Confidence,Tainted,CWE,OWASP,Evidence IDs
d0eb862b70fc7be3,SEC-004,Hardcoded Secret,High,DETERMINISTIC,legacy:python,python,dashboard\app.py,97,,"key=""code_upload"",",,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,,,
8437bde76bc4c705,SEC-004,Hardcoded Secret,High,DETERMINISTIC,legacy:python,python,dashboard\app.py,113,,"key=""github_url_input"",",,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,,,
82c531a640c1ea11,SEC-004,Hardcoded Secret,High,DETERMINISTIC,legacy:python,python,dashboard\app.py,127,,"key=""req_upload"",",,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,,,
160f607b8b70a721,SEC-004,Hardcoded Secret,High,DETERMINISTIC,legacy:python,python,dashboard\app.py,142,,"key=""policy_upload"",",,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,,,
bc236cf3ec664bd2,SEC-004,Hardcoded Secret,High,DETERMINISTIC,legacy:python,python,dashboard\chat_page.py,43,,"_KEY_COPILOT     = ""acg_copilot""",,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,,,
baad36fc73a2c215,SEC-004,Hardcoded Secret,High,DETERMINISTIC,legacy:python,python,dashboard\chat_page.py,118,,"key=""acg_model_input"",",,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,,,
7fd32065452ece61,SEC-004,Hardcoded Secret,High,DETERMINISTIC,legacy:python,python,dashboard\chat_page.py,127,,"if st.button(""🗑️ Clear chat history"", key=""acg_clear_hist""):",,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,,,
d69a5958069ef3a1,SEC-004,Hardcoded Secret,High,DETERMINISTIC,legacy:python,python,dashboard\chat_page.py,219,,"key=""acg_file_upload"",",,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,,,
bceea9aa5ac86175,SEC-004,Hardcoded Secret,High,DETERMINISTIC,legacy:python,python,dashboard\chat_page.py,226,,"dir_path = st.text_input(""Local path"", key=""acg_dir_path"",",,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,,,
3f046f6304f2cdb7,QNT-SHA-1,Quantum Migration Inventory,Info,DETERMINISTIC,quantum,python,guardian\ai\document_loader.py,108,_make_doc_id,return hashlib.sha1(basis.encode()).hexdigest()[:16],SHA-1 is classically broken: Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,Migrate to SHA-384 or SHA3-256 (NIST SP 800-107r1). Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,1.0,False,CWE-327,A02:2021,E241
43d825935ba666ea,SEC-005,Weak Crypto,High,DETERMINISTIC,security,python,guardian\ai\document_loader.py,108,_make_doc_id,return hashlib.sha1(basis.encode()).hexdigest()[:16],hashlib.sha1 performs hashing with SHA-1. SHA-1 is collision-broken and deprecated by NIST.,"Use SHA-256 or stronger for hashing (Argon2id/bcrypt/scrypt for passwords), and AES-256-GCM for symmetric encryption.",0.95,False,CWE-327,A02:2021,E16
30115e40815579f0,QNT-SHA-1,Quantum Migration Inventory,Info,DETERMINISTIC,quantum,python,guardian\ai\scan_context.py,48,findings_to_documents,"doc_id=hashlib.sha1(text.encode()).hexdigest()[:16],",SHA-1 is classically broken: Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,Migrate to SHA-384 or SHA3-256 (NIST SP 800-107r1). Chosen-prefix collisions demonstrated; NIST-deprecated for all uses. (2 usages in this file),1.0,False,CWE-327,A02:2021,E243;E244
c4c4044af8d710d0,SEC-005,Weak Crypto,High,DETERMINISTIC,security,python,guardian\ai\scan_context.py,48,findings_to_documents,"doc_id=hashlib.sha1(text.encode()).hexdigest()[:16],",hashlib.sha1 performs hashing with SHA-1. SHA-1 is collision-broken and deprecated by NIST.,"Use SHA-256 or stronger for hashing (Argon2id/bcrypt/scrypt for passwords), and AES-256-GCM for symmetric encryption.",0.95,False,CWE-327,A02:2021,E81
1c0f1e706c0c2150,SEC-005,Weak Crypto,High,DETERMINISTIC,security,python,guardian\ai\scan_context.py,69,findings_to_documents,"doc_id=hashlib.sha1(summary_content.encode()).hexdigest()[:16],",hashlib.sha1 performs hashing with SHA-1. SHA-1 is collision-broken and deprecated by NIST.,"Use SHA-256 or stronger for hashing (Argon2id/bcrypt/scrypt for passwords), and AES-256-GCM for symmetric encryption.",0.95,False,CWE-327,A02:2021,E82
97476f8611e2256d,QNT-SHA-1,Quantum Migration Inventory,Info,DETERMINISTIC,quantum,python,guardian\core\models.py,77,__post_init__,self.finding_id = hashlib.sha1(basis.encode()).hexdigest()[:16],SHA-1 is classically broken: Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,Migrate to SHA-384 or SHA3-256 (NIST SP 800-107r1). Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,1.0,False,CWE-327,A02:2021,E246
888a5711d45b9704,SEC-005,Weak Crypto,High,DETERMINISTIC,security,python,guardian\core\models.py,77,__post_init__,self.finding_id = hashlib.sha1(basis.encode()).hexdigest()[:16],hashlib.sha1 performs hashing with SHA-1. SHA-1 is collision-broken and deprecated by NIST.,"Use SHA-256 or stronger for hashing (Argon2id/bcrypt/scrypt for passwords), and AES-256-GCM for symmetric encryption.",0.95,False,CWE-327,A02:2021,E97
eee3ec56f07f01a8,SEC-006,Broken Authentication,Critical,DETERMINISTIC,security,python,guardian\engines\security.py,103,,INSECURE_TRANSPORT = re.compile(,TLS certificate/hostname verification appears disabled at INSECURE_TRANSPORT.,Keep certificate and hostname verification enabled and require TLS 1.2+ (prefer TLS 1.3).,0.8,False,CWE-295,A07:2021,E119;E120
23b607df3a294e7d,SEC-006,Broken Authentication,Critical,DETERMINISTIC,security,python,guardian\engines\security.py,314,_insecure_transport_finding,"if disabled_verification and re.search(r""(?i)(rejectUnauthorized|check_hostname|""",TLS certificate/hostname verification appears disabled at re.search.,Keep certificate and hostname verification enabled and require TLS 1.2+ (prefer TLS 1.3).,0.8,False,CWE-295,A07:2021,E121
43f6711961a17753,QNT-SHA-1,Quantum Migration Inventory,Info,DETERMINISTIC,quantum,python,guardian\evidence\models.py,104,__post_init__,self.fingerprint = hashlib.sha1(basis.encode()).hexdigest()[:16],SHA-1 is classically broken: Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,Migrate to SHA-384 or SHA3-256 (NIST SP 800-107r1). Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,1.0,False,CWE-327,A02:2021,E248
ba0c743519bdc61d,SEC-005,Weak Crypto,High,DETERMINISTIC,security,python,guardian\evidence\models.py,104,__post_init__,self.fingerprint = hashlib.sha1(basis.encode()).hexdigest()[:16],hashlib.sha1 performs hashing with SHA-1. SHA-1 is collision-broken and deprecated by NIST.,"Use SHA-256 or stronger for hashing (Argon2id/bcrypt/scrypt for passwords), and AES-256-GCM for symmetric encryption.",0.95,False,CWE-327,A02:2021,E124
3ce5464fe3b58f0c,SEC-006,Broken Authentication,Critical,DETERMINISTIC,security,python,guardian\intent\legacy\matcher.py,32,,_AUTH_BYPASS = re.compile(,TLS certificate/hostname verification appears disabled at _AUTH_BYPASS.,Keep certificate and hostname verification enabled and require TLS 1.2+ (prefer TLS 1.3).,0.8,False,CWE-295,A07:2021,E128;E129
